R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1,Bournemouth,12.7,16,15.5,10,1.6,7.25
2,Watford,16,18,16.5,10.6,1.8,7.16
3,Norwich,10.9,13.7,17.5,12.9,2.6,7.06
4,Blackburn,14.4,17.4,17,11.7,1.3,7.03
5,Nottingham Forest,15.3,18.6,15.2,12.5,2,7.03
6,Derby,14.1,17.7,12.2,11.4,1.1,7.02
7,Ipswich,13.6,18.3,19.8,11.5,2.4,7.01
8,Brentford,15.5,17.5,14.1,9.8,1.9,7
9,Sheffield Wednesday,13.3,20.6,16.6,13,1.8,6.97
10,Brighton,13.5,19.7,21,11.9,2.5,6.95
11,Cardiff,15.8,20.2,15.7,11.6,1.7,6.94
12,Leeds,17.7,19.4,18.2,12.8,2.5,6.94
13,Fulham,16.1,18.3,16.9,9.5,1.3,6.92
14,Middlesbrough,12.9,17.9,14.7,12.9,2.3,6.9
15,Birmingham,18.1,19,15.6,10.3,2,6.89
16,Charlton,18,19.3,16.4,9.8,1,6.85
17,Millwall,13.8,20.2,15.7,13.5,2.2,6.83
18,Wigan,14,18.4,18.4,11.6,3,6.83
19,Rotherham,14.9,19.2,15.6,10.7,2,6.82
20,Wolverhampton Wanderers,14.6,17.2,11.3,11.1,2.7,6.82
21,Bolton,16.6,16.9,19.6,12.2,2.6,6.8
22,Huddersfield,16.3,18.8,15.9,11.5,1.3,6.78
23,Reading,14.5,17.8,13.1,13.5,2.3,6.74
24,Blackpool,19.2,17.5,18.3,13.5,2,6.64
