R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1,Hull,8.3,14.4,16.3,9.6,2.2,7.08
2,Middlesbrough,10.3,17.1,20.8,9.4,2.2,7.04
3,Burnley,12.5,14.4,16.7,10.5,2.4,6.98
4,Sheffield Wednesday,9.5,17.8,15.9,11.8,1.7,6.95
5,Derby,10,16.6,13.8,10,1.6,6.95
6,Queens Park Rangers,12,15.9,19.5,12.1,2.2,6.94
7,Brighton,10.3,15.4,13.9,10.7,2.3,6.91
8,Cardiff,10.4,15.6,15.3,10.2,2.3,6.87
9,Bolton,12.6,18.6,21.1,11.7,2.2,6.86
10,Reading,9.6,14.7,17.6,10,2.1,6.85
11,Nottingham Forest,13.3,20.9,18.3,11.1,2.6,6.85
12,Wolverhampton Wanderers,12.6,18,15.5,10,2.2,6.83
13,Blackburn,10,15.7,14.4,10.8,1.9,6.82
14,Fulham,14.2,16,14,10.2,2.1,6.78
15,Bristol City,11.3,15.2,17.3,9.7,2.6,6.78
16,Brentford,11.7,16.8,14.7,10.8,1.7,6.78
17,Ipswich,11.3,14.2,17.2,10.3,1.9,6.77
18,Rotherham,12.4,17.2,17.4,10.7,2.1,6.77
19,Birmingham,13.2,16.8,18.1,10.9,2.3,6.75
20,Preston,11.5,16.7,17.6,11.4,1.8,6.74
21,Huddersfield,9.2,17.2,16.1,11.8,2.4,6.74
22,Leeds,11.4,19.2,19.3,11.1,2.3,6.73
23,Charlton,14.2,18.3,13.7,11.7,1.3,6.71
24,Milton Keynes Dons,12,16.4,18,10.2,2,6.62
