R,Team,Own Half,Middle,Opposition Half
1,Fulham,31%,41%,29%
2,Brentford,30%,36%,34%
3,Blackpool,30%,42%,29%
4,Charlton,30%,44%,27%
5,Nottingham Forest,29%,41%,29%
6,Birmingham,29%,41%,31%
7,Wolverhampton Wanderers,29%,44%,27%
8,Leeds,28%,43%,29%
9,Bolton,28%,43%,28%
10,Cardiff,27%,44%,29%
11,Bournemouth,27%,42%,31%
12,Rotherham,27%,43%,31%
13,Blackburn,27%,43%,31%
14,Derby,26%,44%,30%
15,Watford,26%,45%,30%
16,Sheffield Wednesday,26%,43%,32%
17,Middlesbrough,26%,45%,29%
18,Millwall,26%,42%,32%
19,Huddersfield,26%,42%,32%
20,Brighton,26%,45%,30%
21,Ipswich,25%,41%,33%
22,Norwich,25%,42%,34%
23,Reading,25%,45%,31%
24,Wigan,25%,44%,31%
