R,Team,Own Half,Middle,Opposition Half
1,Leeds,34%,43%,24%
2,Blackpool,33%,44%,23%
3,Charlton,33%,43%,24%
4,Nottingham Forest,32%,42%,27%
5,Fulham,32%,44%,25%
6,Middlesbrough,31%,43%,26%
7,Cardiff,31%,42%,27%
8,Brentford,31%,40%,29%
9,Wolverhampton Wanderers,31%,44%,26%
10,Birmingham,31%,40%,28%
11,Millwall,30%,41%,29%
12,Blackburn,30%,42%,28%
13,Derby,30%,42%,29%
14,Watford,30%,44%,26%
15,Bournemouth,30%,43%,28%
16,Brighton,30%,44%,25%
17,Reading,29%,44%,28%
18,Rotherham,29%,42%,30%
19,Sheffield Wednesday,29%,43%,28%
20,Wigan,29%,44%,27%
21,Huddersfield,29%,43%,28%
22,Ipswich,29%,40%,32%
23,Norwich,28%,45%,28%
24,Bolton,28%,45%,27%
