R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,30.8,0,38,7.09,
2,,"Tomas Kalas 21, DR",0,0,2,50,5,35,7.8,
3,,"Ben Gibson 22, DC",0,0,0,47.4,2,35,7.34,
4,,"Daniel Ayala 24, DC",1,1,0,52.9,10,46,8.95,
5,,"George Friend 27, DL",0,0,0,66.7,3,39,7.71,
6,,"Adam Clayton 26, DMC",0,0,1,50,1,38,7.52,
7,,"Grant Leadbitter 29, DMC",0,0,2,50,2,47,7.12,
8,,"Albert Adomah 27, AMR",1,0,1,33.3,0,19,6.61,
9,,"Jelle Vossen (59?)26, AMC",2,0,1,40,4,18,6.43,
10,,"Lee Tomlin (91?)26, AML",1,0,1,63.6,1,40,6.99,
11,,"Patrick Bamford (84?)21, FW",4,2,1,50,2,32,6.45,
12,,"Fernando Amorebieta (91?)30, Sub",0,0,0,0,1,3,6.27,
13,,"Kike (84?)25, Sub",0,0,0,100,0,5,6.02,
14,,"Adam Forshaw (59?)23, Sub",0,0,0,42.9,0,9,6.13,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
18,,"Adam Reach 22, Sub",0,0,0,0,0,0,-,
