R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,14.8,0,41,5.9,
2,,"Ryan Fredericks 22, DR",0,0,1,64.3,3,49,7.41,
3,,"Daniel Ayala 23, DC",1,0,0,53.6,4,36,6.3,
4,,"Kenneth Omeruo 21, DC",0,0,0,74.2,1,39,6.2,
5,,"George Friend 27, DL",1,1,1,80.8,2,68,6.69,
6,,"Albert Adomah 26, MR",2,0,2,83.3,0,49,7.33,
7,,"Dean Whitehead 32, MC",0,0,0,90,1,57,6.49,
8,,"Grant Leadbitter 28, MC",2,1,2,83.1,1,80,6.41,
9,,"Adam Reach (64?)21, ML",1,0,0,78.6,0,35,6.49,
10,,"Jelle Vossen (75?)25, FW",4,1,1,66.7,0,29,6.33,
11,,"Patrick Bamford (63?)21, FW",3,2,1,78.6,0,20,6.24,
12,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
13,,"Kike (63?)24, Sub",1,0,0,75,0,11,5.95,
14,,"Ben Gibson 21, Sub",0,0,0,0,0,0,-,
15,,"Yanic Wildschut (75?)23, Sub",0,0,0,100,0,7,5.96,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,-,
17,,"Lee Tomlin (64?)25, Sub",0,0,1,81.3,0,19,5.86,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,-,
