R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,14.3,0,40,6.98,
2,,"Emilio Nsue Lopez 25, DR",1,0,1,85.7,0,21,6.75,
3,,"Ben Gibson 21, DC",0,0,0,65.6,1,43,6.89,
4,,"Daniel Ayala 24, DC",0,0,0,56.3,4,49,7.62,
5,,"George Friend 27, DL",1,0,0,76.5,2,59,7.07,
6,,"Albert Adomah 27, MR",1,0,3,71.4,0,48,7.04,
7,,"Grant Leadbitter 28, MC",1,1,2,87.2,1,72,8.28,
8,,"Adam Clayton 25, MC",1,0,1,74.5,0,64,7.73,
9,,"Adam Reach 21, ML",3,0,1,72.4,2,44,6.96,
10,,"Jelle Vossen (77?)25, FW",2,1,1,70.4,2,38,7,
11,,"Patrick Bamford (73?)21, FW",6,5,0,66.7,2,30,8.23,
12,,"Yanic Wildschut (77?)23, Sub",0,0,0,0,0,5,6.3,
13,,"Kike (73?)25, Sub",0,0,0,57.1,0,11,5.83,
14,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,-,
15,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,-,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,-,
17,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,-,
18,,"James Husband 20, Sub",0,0,0,0,0,0,-,
