R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,33.3,0,36,5.53,
2,,"Tomas Kalas 21, DR",0,0,0,58.6,4,42,7.22,
3,,"Ben Gibson 22, DC",0,0,0,56.7,7,43,7.32,
4,,"Daniel Ayala (23?)24, DC",1,1,0,50,1,12,7.18,
5,,"George Friend 27, DL",0,0,1,50,4,49,7.42,
6,,"Adam Clayton 26, DMC",1,0,1,67.7,2,47,7.79,
7,,"Grant Leadbitter (87?)29, DMC",1,0,1,72.7,2,51,7.16,
8,,"Albert Adomah 27, AMR",4,1,3,77.3,2,44,8.92,
9,,"Patrick Bamford 21, AMC",4,2,0,48.2,0,42,7.75,
10,,"Adam Reach 22, AML",0,0,2,66.7,1,40,6.47,
11,,"Jelle Vossen (67?)25, FW",1,0,1,94.7,3,24,7.69,
12,,"Emilio Nsue Lopez (87?)25, Sub",1,0,0,66.7,1,5,5.93,
13,,"Adam Forshaw (67?)23, Sub",0,0,3,72.7,1,13,6.5,
14,,"Jonathan Woodgate (23?)35, Sub",0,0,1,48,5,34,7.27,
15,,"Kike 25, Sub",0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
18,,"Lee Tomlin 26, Sub",0,0,0,0,0,0,-,
