R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Jamal Blackman 21, GK",0,0,0,24.2,1,67,4.81,
2,,"Ryan Fredericks 22, DR",0,0,2,60,1,43,7.42,
3,,"Kenneth Omeruo 21, DC",0,0,0,76,2,50,8.17,
4,,"Daniel Ayala 24, DC",1,1,0,89.3,2,56,8.67,
5,,"George Friend 27, DL",0,0,0,77.5,2,66,7.89,
6,,"Albert Adomah 27, MR",0,0,1,76.2,1,41,6.63,
7,,"Adam Clayton 26, MC",2,1,0,75.7,0,52,7.76,  
8,,"Grant Leadbitter (111?)29, MC",1,0,3,76.5,1,73,7.94,
9,,"Adam Reach 22, ML",3,1,1,72.7,1,53,8.23,   
10,,"Lee Tomlin (111?)26, AMC",3,1,3,80.6,0,59,7.43,
11,,"Kike (75?)25, FW",2,0,0,45,1,33,6.15,
12,,"Jelle Vossen (111?)25, Sub",0,0,0,0,0,3,6.47,
13,,"Yanic Wildschut (75?)23, Sub",0,0,0,30,1,22,6.45,
14,,"Patrick Bamford (111?)21, Sub",1,1,0,66.7,0,8,7.25,  
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
16,,"Dimitrios Konstantopoulos 36, Sub",0,0,0,0,0,0,-,
17,,"James Husband 21, Sub",0,0,0,0,0,0,-,
18,,"Ben Gibson 22, Sub",0,0,0,0,0,0,-,
