R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,46.9,3,44,7.43,
2,,"Ryan Fredericks 22, DR",2,1,0,76.2,0,28,7.16,
3,,"Daniel Ayala 23, DC",2,0,0,84.9,4,44,7.37,
4,,"Ben Gibson 21, DC",0,0,0,70.7,2,45,6.82,
5,,"George Friend 27, DL",0,0,1,82.9,0,48,7.79,
6,,"Grant Leadbitter 28, DMC",3,3,2,79.5,1,54,8.88,  
7,,"Adam Clayton 25, DMC",2,0,0,85.1,0,59,7.25,
8,,"Albert Adomah (48?)26, AMR",0,0,1,80,0,26,7.03,
9,,"Lee Tomlin 25, AMC",1,0,2,88.2,1,46,7.63,
10,,"Patrick Bamford (74?)21, AML",2,1,1,73.7,1,32,8.07,
11,,"Kike (67?)24, FW",2,0,1,80,0,25,6.7,
12,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,-,
13,,"Jelle Vossen (74?)25, Sub",0,0,0,0,0,1,6.16,
14,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
15,,"Yanic Wildschut (67?)23, Sub",1,1,0,60,1,15,7.28,
16,,"Adam Reach (48?)21, Sub",0,0,2,62.5,2,35,7.31,
17,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,-,
18,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,-,
