R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,46.4,0,49,7.62,
2,,"Ryan Fredericks 22, DR",0,0,0,71.9,0,46,7.28,
3,,"Tomas Kalas 21, DC",0,0,0,83.3,5,47,8.17,
4,,"Ben Gibson 22, DC",0,0,0,77.8,2,41,7.64,
5,,"George Friend 27, DL",1,1,2,68.2,4,69,8.38,
6,,"Adam Clayton 26, DMC",0,0,2,92.5,0,62,7.7,
7,,"Grant Leadbitter (81?)29, DMC",1,0,1,94.4,0,47,7.2,
8,,"Albert Adomah 27, AMR",2,1,2,76.5,0,53,7.47,
9,,"Lee Tomlin (73?)26, AMC",1,1,1,69.7,0,43,6.61,
10,,"Patrick Bamford (82?)21, AML",1,1,1,81.3,0,44,8.36,
11,,"Kike 25, FW",4,2,0,90.9,3,37,7.64,
12,,"Jelle Vossen (73?)25, Sub",1,1,0,66.7,0,4,6.95,
13,,"Yanic Wildschut (82?)23, Sub",1,0,0,50,0,6,6.09,
14,,"Adam Forshaw (81?)23, Sub",0,0,0,100,1,4,6.19,
15,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
16,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,-,
17,,"Adam Reach 22, Sub",0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
