R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,1,29.2,3,45,7.34,
2,,"Emilio Nsue Lopez 25, DR",0,0,1,86.4,0,76,7.03,
3,,"Daniel Ayala 23, DC",2,0,0,83.1,18,94,8.94,
4,,"Ben Gibson 21, DC",0,0,0,79.4,4,73,6.93,
5,,"George Friend (88?)27, DL",1,0,0,84.6,8,79,7.95,
6,,"Adam Reach 21, MR",1,0,1,78.2,0,72,7.81,
7,,"Grant Leadbitter 28, MC",1,0,4,91.4,2,127,7.83,
8,,"Adam Clayton 25, MC",1,0,1,94.2,1,115,7.6,
9,,"Yanic Wildschut 23, ML",1,1,3,75.7,0,52,8.49,
10,,"Kike (60?)24, FW",4,2,0,81.8,2,20,6.67,
11,,"Patrick Bamford (72?)21, FW",1,1,0,76.2,1,28,7.48,
12,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,-,
13,,"Jelle Vossen (72?)25, Sub",1,0,0,85.7,1,10,6.29,
14,,"Ryan Fredericks 22, Sub",0,0,0,0,0,0,-,
15,,"James Husband (88?)20, Sub",0,0,0,100,0,3,6.04,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,-,
17,,"Lee Tomlin (60?)25, Sub",1,1,0,87.1,0,37,7.13,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,-,
