R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Tomás Mejías 26, GK",0,0,0,34.6,0,66,8.18,
2,,"Ryan Fredericks 22, DR",0,0,1,55,0,42,7.67,
3,,"Kenneth Omeruo 21, DC",0,0,0,77.5,3,54,7.25,
4,,"Ben Gibson 22, DC",0,0,0,83.8,0,44,6.13,
5,,"George Friend 27, DL",0,0,0,76.9,0,60,6.62,
6,,"Adam Clayton 26, DMC",1,0,0,82,0,64,6.73,
7,,"Grant Leadbitter 29, DMC",2,0,1,90,1,59,6.09,
8,,"Patrick Bamford (53?)21, AMR",0,0,0,64.3,2,18,5.96,
9,,"Lee Tomlin (53?)26, AMC",0,0,0,69.6,0,29,5.78,
10,,"Albert Adomah 27, AML",2,1,0,69.2,1,34,6.04,
11,,"Kike 25, FW",1,0,0,66.7,2,23,5.98,
12,,"Jelle Vossen (53?)25, Sub",0,0,1,72.2,0,21,5.95,
13,,"Adam Reach (53?)22, Sub",0,0,0,77.8,1,23,6.2,
14,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
15,,"James Husband 21, Sub",0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
