R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,45.2,0,46,5.91,
2,,"Emilio Nsue Lopez (70?)25, DR",0,0,0,65.7,1,41,6.16,
3,,"Ben Gibson 21, DC",0,0,0,66.7,1,45,6.13,
4,,"Daniel Ayala 24, DC",1,0,0,60,4,50,7.01,
5,,"George Friend 27, DL",0,0,1,71.4,1,44,6.41,
6,,"Albert Adomah 26, MR",1,1,0,52.2,2,41,6.99,
7,,"Adam Clayton 25, MC",1,0,1,83.3,0,52,6.76,
8,,"Grant Leadbitter 28, MC",0,0,1,82.5,0,71,6.94,
9,,"Adam Reach (55?)21, ML",1,0,0,72.2,0,29,6.19,
10,,"Lee Tomlin 25, AMC",1,0,1,62.9,2,49,6.37,
11,,"Kike (81?)25, FW",1,0,2,64.3,1,33,6.7,
12,,"Jelle Vossen 25, Sub",0,0,0,0,0,0,-,
13,,"Yanic Wildschut (81?)23, Sub",0,0,0,100,0,1,6.01,
14,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,-,
15,,"James Husband 20, Sub",0,0,0,0,0,0,-,
16,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,-,
17,,"Patrick Bamford (55?)21, Sub",2,1,0,55.6,1,13,7.05,
18,,"Ryan Fredericks (70?)22, Sub",0,0,0,40,1,10,6.29,
