R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,44.8,0,48,6.05,
2,,"Dwight Tiendalli (62?)29, DR",0,0,1,81,1,52,6.58,
3,,"Fernando Amorebieta 30, DC",1,0,0,67.7,12,57,7.9,
4,,"Jonathan Woodgate 35, DC",0,0,0,79,2,46,6.31,
5,,"George Friend 27, DL",1,0,2,59.6,1,71,7.39,
6,,"Adam Clayton (83?)26, DMC",0,0,1,74.1,1,75,7.26,
7,,"Grant Leadbitter 29, DMC",1,0,2,83.6,4,81,6.09,
8,,"Albert Adomah 27, AMR",1,0,1,75.9,0,52,6.41,
9,,"Lee Tomlin (61?)26, AMC",2,1,1,64.5,3,36,6.58,
10,,"Adam Reach 22, AML",2,0,0,71.4,1,37,5.77,
11,,"Patrick Bamford 21, FW",1,0,0,63.6,2,30,5.73,
12,,"Tomas Kalas (62?)21, Sub",0,0,1,84.2,0,26,6.59,
13,,"Kike (61?)25, Sub",2,1,1,90.9,1,13,6.2,
14,,"Adam Forshaw (83?)23, Sub",1,0,1,88.9,0,11,6.16,
15,,"Jelle Vossen 26, Sub",0,0,0,0,0,0,-,
16,,"Ben Gibson 22, Sub",0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
