R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,52.4,0,38,7.1,
2,,"Emilio Nsue Lopez (75?)25, DR",0,0,1,87.3,0,74,6.25,
3,,"Tomas Kalas 22, DC",0,0,1,98.3,0,67,6.82,
4,,"Daniel Ayala 24, DC",4,1,0,86.9,1,74,6.6,
5,,"George Friend 27, DL",1,0,1,89.9,4,89,7.6,
6,,"Grant Leadbitter 29, DMC",2,2,4,89.7,0,79,6.98,
7,,"Adam Clayton 26, DMC",1,0,1,90.3,0,99,6.56,
8,,"Christian Stuani (61?)28, AMR",2,1,0,77.8,1,35,5.99,
9,,"Stewart Downing 31, AMC",3,0,5,91.3,0,98,7.32,
10,,"Yanic Wildschut (45?)23, AML",1,1,0,82.1,0,41,6.62,
11,,"David Nugent 30, FW",1,1,0,75.7,1,48,6.15,
12,,"Diego Fabbrini (45?)25, Sub",3,0,2,76.7,0,42,6.21,
13,,"Albert Adomah (61?)27, Sub",0,0,2,72.7,0,28,6.74,
14,,"Kike (75?)25, Sub",1,0,0,100,0,3,5.99,
15,,"Adam Forshaw 23, Sub",0,0,0,0,0,0,-,
16,,"Ben Gibson 22, Sub",0,0,0,0,0,0,-,
17,,"Jack Stephens 21, Sub",0,0,0,0,0,0,-,
18,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,-,
