R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,18.8,0,25,7.28,
2,,"Tomas Kalas 21, DR",0,0,2,76.7,3,69,8.5,
3,,"Ben Gibson 22, DC",0,0,0,76.9,6,39,7.56,
4,,"Jonathan Woodgate 35, DC",0,0,0,72.7,13,70,9.96,
5,,"George Friend 27, DL",0,0,1,72.1,1,65,7.32,
6,,"Adam Clayton 26, DMC",1,0,0,66.1,2,70,7.19,
7,,"Grant Leadbitter 29, DMC",1,0,1,80.4,0,70,7.05,
8,,"Albert Adomah 27, AMR",1,0,0,77.8,2,52,7.49,
9,,"Patrick Bamford (87?)21, AMC",3,2,1,78.6,2,40,7.63,
10,,"Adam Reach 22, AML",0,0,1,78.1,2,55,6.97,
11,,"Jelle Vossen (67?)26, FW",1,0,2,65.2,1,29,6.51,
12,,"Kike (87?)25, Sub",0,0,0,100,0,3,6.04,
13,,"Lee Tomlin (67?)26, Sub",3,1,0,83.3,0,16,6.34,
14,,"Dwight Tiendalli 29, Sub",0,0,0,0,0,0,-,
15,,"Fernando Amorebieta 30, Sub",0,0,0,0,0,0,-,
16,,"Adam Forshaw 23, Sub",0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
