R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,38.5,1,40,6.96,
2,,"Tomas Kalas 22, DR",0,0,0,77.8,2,47,6.86,
3,,"Ben Gibson 22, DC",0,0,1,72.7,1,33,7.11,
4,,"Daniel Ayala 24, DC",0,0,0,60.7,1,41,6.96,
5,,"George Friend 27, DL",2,0,0,57.7,2,45,6.91,
6,,"Adam Clayton 26, DMC",0,0,0,85.7,2,44,6.67,
7,,"Grant Leadbitter 29, DMC",0,0,1,70.3,0,45,6.5,
8,,"Albert Adomah 27, AMR",1,0,0,70.8,0,37,6.56,
9,,"Diego Fabbrini (73?)25, AMC",0,0,2,95.5,0,34,6.45,
10,,"Stewart Downing (88?)31, AML",1,0,1,75,0,46,6.26,
11,,"Kike (76?)25, FW",3,2,1,68.4,1,31,7.15,
12,,"Christian Stuani (76?)28, Sub",0,0,0,66.7,1,9,5.87,
13,,"Adam Forshaw (88?)23, Sub",0,0,0,66.7,0,3,6,
14,,"Adam Reach (73?)22, Sub",0,0,0,33.3,0,5,5.94,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
16,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,-,
17,,"Jack Stephens 21, Sub",0,0,0,0,0,0,-,
18,,"David Nugent 30, Sub",0,0,0,0,0,0,-,
