R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,30.6,0,57,7.3,
2,,"Tomas Kalas 21, DR",0,0,0,46.4,4,38,7.36,
3,,"Jonathan Woodgate 35, DC",0,0,0,68.6,6,44,7.17,
4,,"Ben Gibson 22, DC",0,0,0,50,2,47,7.51,
5,,"George Friend 27, DL",0,0,0,50,3,46,7.84,
6,,"Grant Leadbitter 29, DMC",0,0,1,64.4,1,59,7.47,
7,,"Adam Clayton 26, DMC",0,0,1,79.5,5,52,7.8,
8,,"Lee Tomlin (85?)26, AMR",0,0,1,64,1,35,7.07,
9,,"Jelle Vossen (80?)25, AMC",3,1,1,69,2,40,6.77,
10,,"Albert Adomah (90?)27, AML",1,1,1,36,1,44,7.36,
11,,"Patrick Bamford 21, FW",3,1,0,63.6,3,36,7.1,
12,,"Emilio Nsue Lopez (90?)25, Sub",0,0,0,100,1,3,6.22,
13,,"Adam Forshaw (80?)23, Sub",0,0,0,57.1,0,7,6.03,
14,,"Adam Reach (85?)22, Sub",0,0,0,100,0,6,5.99,
15,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,-,
16,,"Kike 25, Sub",0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
