R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,52.4,0,43,6.79,
2,,"Tomas Kalas 21, DR",0,0,1,77.4,1,45,7.03,
3,,"Ben Gibson 22, DC",0,0,0,82.3,5,67,7.27,
4,,"Daniel Ayala (69?)24, DC",2,2,0,69.1,5,53,7.69,
5,,"George Friend 27, DL",1,0,0,72.3,2,78,6.75,
6,,"Adam Clayton (78?)26, DMC",0,0,3,84.8,0,68,7.79,
7,,"Adam Forshaw 23, DMC",0,0,5,85,2,73,8.19,
8,,"Albert Adomah 27, AMR",3,2,1,62.9,1,61,7.18,
9,,"Lee Tomlin (84?)26, AMC",3,1,2,68.6,0,47,8.47,
10,,"Patrick Bamford 21, AML",3,2,1,74.3,0,48,7.01,
11,,"Kike 25, FW",4,1,1,81.5,2,36,7.08,
12,,"Emilio Nsue Lopez (84?)25, Sub",1,0,0,66.7,0,4,6.03,
13,,"Jonathan Woodgate (69?)35, Sub",0,0,0,55.6,1,13,6.37,
14,,"Dean Whitehead (78?)33, Sub",0,0,0,85.7,0,10,6.18,
15,,"Jelle Vossen 26, Sub",0,0,0,0,0,0,-,
16,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,-,
17,,"Fernando Amorebieta 30, Sub",0,0,0,0,0,0,-,
18,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
