R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,31.6,0,39,6.38,
2,,"Ryan Fredericks (60?)22, DR",0,0,0,69.6,0,32,6.21,
3,,"Ben Gibson 22, DC",0,0,0,57.1,2,37,5.78,
4,,"Daniel Ayala 24, DC",2,1,0,53.3,2,49,6.9,
5,,"George Friend 27, DL",1,0,1,67.7,1,46,5.49,
6,,"Grant Leadbitter 29, DMC",2,0,2,85.3,1,82,6.29,
7,,"Adam Clayton (60?)26, DMC",0,0,0,81.6,1,43,5.76,
8,,"Albert Adomah 27, AMR",2,0,3,76.9,2,51,8.2,
9,,"Jelle Vossen (60?)26, AMC",1,1,0,92.9,2,24,6.15,
10,,"Lee Tomlin 26, AML",4,1,4,76.8,0,67,7.39,
11,,"Patrick Bamford 21, FW",2,0,1,51.7,0,39,6.36,
12,,"Kike (60?)25, Sub",1,1,1,70,0,15,7.16,
13,,"Adam Forshaw (60?)23, Sub",1,1,1,90.5,0,27,6.7,
14,,"Adam Reach (60?)22, Sub",1,1,1,80,0,23,7.84,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
16,,"Dwight Tiendalli 29, Sub",0,0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
18,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
