Club,Players Used
Ipswich Town,42
Barnsley,39
Blackburn,38
Charlton,37
Bristol City,36
Crystal Palace,36
Birmingham,36
Watford,36
Millwall,35
Bolton,35
Wolves,35
Sheffield Wed,35
Middlesbrough,35
Hull City,34
Blackpool,34
Peterborough,34
Leeds United,33
Nottm Forest,33
Brighton,31
Huddersfield,31
Cardiff City,30
Burnley,30
Leicester City,27
Derby County,26
