Club,Players Used
Derby County,44
Peterborough,42
QPR,41
Ipswich Town,40
Middlesbrough,40
Sheffield Utd,39
WBA,39
Plymouth,38
Watford,37
Coventry City,36
Bristol City,35
Barnsley,35
Swansea City,35
Reading,35
Newcastle,34
Preston,34
Blackpool,33
Scunthorpe,32
Doncaster,31
Leicester City,31
Sheffield Wed,29
Cardiff City,28
Crystal Palace,28
Nottm Forest,25
