Club,Players Used
Blackpool,42
Millwall,42
QPR,40
Birmingham,40
Sheffield Wed,40
Bolton,39
Barnsley,39
Watford,39
Wigan Athletic,36
Charlton,36
Nottm Forest,36
Yeovil Town,36
Middlesbrough,36
Blackburn,35
Doncaster,34
Brighton,33
Leeds United,33
Bournemouth,32
Derby County,32
Huddersfield,30
Reading,29
Leicester City,28
Ipswich Town,28
Burnley,25
