NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,Ben Gibson,1,0,0,0,0,0,0,0,0,0
-,Emanuele Ledesema,1,0,0,2,0,0,0,0,0,0
-,George Friend,1,0,0,0,0,0,0,3,0,0
-,Grant Leadbitter,1,0,0,9,1,0,1,0,0,0
-,Jozsef Varga,1,0,0,1,1,1,1,1,0,0
-,Justin Hoyte,1,0,0,0,0,0,1,2,0,0
-,Lukas Jutkiewicz,1,0,1,2,0,0,0,0,0,0
-,Marvin Emnes,1,0,0,1,1,0,0,2,0,0
-,Mustapha Carayol,1,0,0,3,1,0,0,1,0,0
-,Rhys Williams,1,0,0,0,0,0,1,0,0,0
-,Adam Reach,0,1,0,2,0,0,0,0,0,0
-,Andy Halliday,0,0,0,0,0,0,0,0,0,0
-,Curtis Main,0,1,0,0,0,0,0,0,0,0
-,Dean Whitehead,0,0,0,0,0,0,0,0,0,0
-,Luke Williams,0,1,0,2,0,0,0,0,0,0
-,Richard Smallwood,0,0,0,0,0,0,0,0,0,0
