NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,Ben Gibson,2,0,0,0,0,0,0,2,0,0
-,Curtis Main,2,0,0,4,0,0,0,4,0,0
-,Dean Whitehead,2,0,0,2,0,0,6,2,0,0
-,Emanuele Ledesema,2,0,0,4,2,0,6,0,0,0
-,George Friend,2,0,0,2,0,0,0,0,0,0
-,Grant Leadbitter,2,0,0,2,2,0,4,0,2,0
-,Jozsef Varga,2,0,0,0,0,0,0,2,0,0
-,Luke Williams,2,0,0,0,0,0,4,2,2,0
-,Marvin Emnes,2,0,0,2,0,0,2,2,0,0
-,Rhys Williams,2,0,0,2,0,0,4,4,0,0
-,Albert Adomah,0,2,0,0,0,0,0,2,0,0
-,Frazer Richardson,0,0,0,0,0,0,0,0,0,0
-,Jacob Butterfield,0,2,0,0,0,0,0,0,0,0
-,Lukas Jutkiewicz,0,2,0,2,0,0,2,6,0,0
-,Richard Smallwood,0,0,0,0,0,0,0,0,0,0
-,Seb Hines,0,0,0,0,0,0,0,0,0,0
