NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
7,Grant Leadbitter,42,0,3,66,28,8,47,32,9,0
16,Joshua McEachran,35,3,0,13,7,4,25,35,4,0
4,George Friend,34,0,0,19,7,4,21,21,2,0
3,Andre Amougou,31,2,1,12,4,0,30,27,6,0
2,Justin Hoyte,29,2,1,8,3,0,8,5,1,0
27,Scott McDonald,25,7,12,63,30,6,27,36,3,0
39,Jonathan Woodgate,24,0,1,3,1,0,11,8,4,1
14,Rhys Williams,21,2,0,7,2,0,24,33,4,0
38,Faris Haroun,20,3,4,24,10,0,28,11,1,0
9,Marvin Emnes,19,5,5,24,11,3,9,35,0,0
10,Nick Bailey,19,9,2,7,4,0,28,17,2,0
17,Lukas Jutkiewicz,18,6,8,40,15,4,21,32,1,0
15,Seb Hines,17,4,1,6,0,1,17,8,2,0
11,Emanuele Ledesema,14,14,2,38,16,2,19,22,5,0
30,Ishmael Miller,14,11,5,39,15,5,19,13,1,0
18,Andy Halliday,13,6,0,8,1,1,11,15,1,0
33,Richard Smallwood,13,9,2,4,2,0,17,5,4,0
19,Mustapha Carayol,12,6,3,24,13,2,8,17,1,0
21,Stuart Parnaby,10,4,0,1,0,1,14,3,1,0
25,Adam Reach,9,7,2,12,6,1,6,5,1,0
12,Kieron Courtney Dyer,7,2,2,3,2,0,3,10,0,0
8,Sammy Ameobi,7,2,1,8,5,1,6,6,0,0
6,Stephen McManus,7,0,0,0,0,0,5,2,1,0
23,Curtis Main,6,7,3,10,5,0,11,13,1,1
-,Kevin Thomson,5,4,0,3,0,0,12,5,1,0
5,Merouane Zemmama,4,13,1,8,3,1,2,6,0,0
22,Luke Williams,3,8,2,5,2,0,2,5,0,0
35,Christian Burgess,1,0,0,0,0,0,1,1,0,0
20,Julio Arca,1,0,0,0,0,0,0,2,0,0
40,Ben Gibson,0,1,0,0,0,0,0,0,0,0
29,Bryn Morris,0,1,0,0,0,0,0,0,0,0
24,Cameron Park,0,0,0,0,0,0,0,0,0,0
37,Paul Weldon,0,0,0,0,0,0,0,0,0,0
