NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,Adam Johnson,1,0,0,0,0,0,1,1,0,0
-,Chris Riggott,1,0,0,0,0,0,1,2,0,0
-,David Wheater,1,0,0,0,0,0,0,1,0,0
-,Gary O'Neil,1,0,0,0,0,0,3,0,1,0
-,Jonathan Franks,1,0,0,0,0,0,3,2,0,0
-,Julio Arca,1,0,0,0,0,0,1,0,0,0
-,Justin Hoyte,1,0,0,0,0,0,1,1,0,0
-,Marcus Bent,1,0,0,0,0,0,0,2,0,0
-,Rhys Williams,1,0,0,1,0,0,2,1,0,0
-,Tony McMahon,1,0,0,2,0,0,0,2,0,0
-,Jonathan Grounds,0,0,0,0,0,0,0,0,0,0
-,Joseph Bennett,0,0,0,0,0,0,0,0,0,0
-,Luke Williams,0,1,0,0,0,0,0,1,0,0
-,Mark Yeates,0,1,0,0,0,0,0,1,0,0
-,Marvin Emnes,0,1,0,0,0,0,0,1,0,0
-,Mohamed Shawky,0,0,0,0,0,0,0,0,0,0
