NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,Justin Hoyte,3,0,0,2,0,0,2,0,1,0
-,Matthew Bates,3,0,0,1,0,0,1,2,0,0
-,Rhys Williams,3,0,0,3,1,0,7,2,1,0
-,Joseph Bennett,2,0,0,0,0,0,1,4,0,0
-,Kevin Thomson,2,0,0,2,0,0,4,0,1,0
-,Lukas Jutkiewicz,2,0,1,6,2,0,4,0,0,0
-,Marvin Emnes,2,1,1,7,1,0,1,3,0,0
-,Scott McDonald,2,0,0,4,3,0,2,5,0,0
-,Seb Hines,2,0,0,0,0,0,3,1,0,0
-,Tony McMahon,2,0,0,5,2,0,5,6,0,0
-,Barry Robson,1,0,1,1,0,0,2,0,0,0
-,Bartholomew Ogbeche,1,0,0,7,5,0,1,1,0,0
-,Curtis Main,1,0,0,4,2,1,2,2,0,0
-,Faris Haroun,1,0,0,0,0,0,1,2,0,0
-,Julio Arca,1,0,0,1,1,0,1,0,0,0
-,Malaury Martin,1,0,0,5,1,1,1,0,0,0
-,Richard Smallwood,1,1,0,2,1,0,2,0,0,0
-,Adam Reach,0,1,0,1,0,0,0,0,0,0
-,Cameron Park,0,0,0,0,0,0,0,0,0,0
-,Luke Williams,0,0,0,0,0,0,0,0,0,0
-,Stephen McManus,0,0,0,0,0,0,0,0,0,0
-,Tarmo Kink,0,1,0,1,0,0,0,0,0,0
