NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,Stephen McManus,3,0,0,1,0,0,3,1,0,0
-,Tony McMahon,3,0,0,5,1,1,5,3,1,0
-,Joseph Bennett,2,0,0,4,0,1,4,2,1,0
-,Justin Hoyte,2,0,0,2,1,1,1,2,0,0
-,Malaury Martin,2,0,0,4,2,0,1,2,0,0
-,Marvin Emnes,2,1,3,4,1,0,0,2,0,0
-,Merouane Zemmama,2,0,1,2,0,0,1,1,0,0
-,Nick Bailey,2,0,0,1,1,0,1,3,0,0
-,Richard Smallwood,2,1,0,0,0,0,4,2,0,0
-,Seb Hines,2,0,1,2,1,0,2,3,0,0
-,Alex Nimely,1,0,0,1,1,0,1,0,0,0
-,Barry Robson,1,0,1,1,0,0,0,3,0,0
-,Faris Haroun,1,1,0,1,0,0,3,3,0,0
-,Julio Arca,1,1,0,2,1,0,2,1,1,0
-,Kevin Thomson,1,0,0,0,0,0,1,5,0,0
-,Matthew Bates,1,1,0,0,0,0,1,2,0,0
-,Rhys Williams,1,1,0,1,0,0,3,1,0,0
-,Scott McDonald,1,0,0,2,1,0,0,0,0,0
-,Andy Halliday,0,0,0,0,0,0,0,0,0,0
-,Cameron Park,0,1,0,2,1,0,0,0,0,0
-,Curtis Main,0,0,0,0,0,0,0,0,0,0
-,Jonathan Franks,0,0,0,0,0,0,0,0,0,0
-,Jonathan Grounds,0,0,0,0,0,0,0,0,0,0
-,Lee Miller,0,1,0,0,0,0,0,1,0,0
-,Luke Williams,0,1,0,0,0,0,0,0,0,0
-,Tarmo Kink,0,0,0,0,0,0,0,0,0,0
