NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
7,Scott McDonald,34,4,11,63,28,4,38,43,3,0
4,Matthew Bates,31,0,3,7,4,1,30,21,3,0
17,Barry Robson,29,3,5,34,26,6,32,76,6,1
27,Joseph Bennett,28,3,0,16,5,1,29,38,5,0
15,Leroy Lita,28,10,12,66,33,5,25,65,4,0
10,Nick Bailey,28,6,0,18,11,1,29,44,5,0
29,Tony McMahon,28,6,2,17,10,5,29,37,6,0
20,Julio Arca,27,5,3,27,10,8,38,39,9,0
-,David Wheater,24,0,3,17,3,0,27,13,5,0
6,Stephen McManus,22,2,1,1,0,0,15,15,3,0
26,Andrew Taylor,20,1,3,13,7,3,5,9,0,0
8,Kevin Thomson,18,1,0,4,1,1,6,22,2,0
9,Kris Boyd,18,9,6,39,15,1,16,15,0,0
32,Marvin Emnes,18,5,3,42,24,3,9,47,1,0
-,Gary O'Neil,17,1,0,28,16,1,22,12,4,0
2,Justin Hoyte,14,3,0,6,3,0,4,7,2,0
24,Seb Hines,14,0,1,3,3,1,10,18,1,0
-,Mickael Tavares,10,3,0,0,0,0,12,2,0,0
25,Rhys Williams,10,2,1,10,3,0,16,8,4,0
11,Tarmo Kink,8,13,4,33,14,1,7,14,0,0
33,Richard Smallwood,7,6,1,2,1,1,8,2,1,0
-,Andrew Davies,5,1,0,1,0,0,6,5,1,0
19,Andy Halliday,5,7,1,6,2,1,4,8,1,0
23,Jonathan Grounds,5,1,1,0,0,0,4,3,0,0
22,Luke Williams,5,1,0,6,4,0,2,4,0,0
-,Matthew Kilgallon,2,0,0,0,0,0,1,0,0,0
5,Merouane Zemmama,2,7,1,2,1,1,3,2,1,0
28,Jonathan Franks,1,3,0,0,0,0,0,2,0,0
3,Maximilian Haas,1,1,0,0,0,0,4,1,1,0
-,Willo Flood,1,4,0,0,0,0,3,2,0,0
41,Adam Reach,0,1,1,1,1,0,0,0,0,0
34,Ben Gibson,0,1,0,0,0,0,1,0,0,0
38,Cameron Park,0,4,0,1,0,0,1,1,0,0
16,Lee Miller,0,1,0,0,0,0,0,0,0,0
