NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
27,Albert Adomah,37,4,12,66,30,5,25,49,2,0
3,George Friend,37,2,3,27,5,0,32,25,6,0
7,Grant Leadbitter,35,2,6,63,20,8,49,25,10,0
18,Dean Whitehead,32,3,1,11,2,0,34,32,13,1
8,Jozsef Varga,27,5,0,2,1,1,33,21,4,0
22,Ben Gibson,26,5,1,9,1,0,15,9,7,2
39,Jonathan Woodgate,23,1,0,8,2,0,16,7,3,0
19,Mustapha Carayol,22,8,8,65,27,1,20,26,2,0
6,Jacob Butterfield,20,11,3,42,14,1,11,22,0,0
4,Rhys Williams,20,0,0,10,1,1,19,16,4,1
9,Danny Graham,17,1,6,42,18,2,15,14,0,0
26,Daniel Ayala,16,2,3,8,4,1,16,12,6,1
29,Kei Kamara,16,8,4,52,18,2,27,17,3,0
11,Emanuele Ledesema,15,11,6,47,18,4,35,16,5,1
24,Nathaniel Chalobah,15,3,1,17,5,0,21,13,4,0
25,Kenneth Omeruo,14,0,0,3,0,0,10,11,2,1
-,Marvin Emnes,13,8,1,22,9,4,9,26,2,0
-,Frazer Richardson,11,0,0,1,1,1,8,4,0,0
-,Lukas Jutkiewicz,10,10,1,47,13,3,22,22,0,0
10,Lee Tomlin,9,5,4,36,12,1,14,13,3,0
-,Richard Smallwood,9,4,0,8,0,3,14,4,1,0
23,Curtis Main,7,16,1,19,4,1,15,7,1,1
14,Luke Williams,4,4,0,8,4,0,3,5,0,0
15,Seb Hines,3,1,0,0,0,0,5,4,1,0
20,Adam Reach,1,1,0,4,0,1,1,1,0,0
-,Justin Hoyte,1,2,0,0,0,0,0,1,0,0
30,Adam Jackson,0,0,0,0,0,0,0,0,0,0
-,Andy Halliday,0,3,0,2,0,0,0,0,0,0
-,Bradley Halliday,0,1,0,0,0,0,0,0,0,0
28,Bryn Morris,0,1,0,0,0,0,0,0,0,0
36,David Atkinson,0,0,0,0,0,0,0,0,0,0
-,Faris Haroun,0,0,0,0,0,0,0,0,0,0
37,Mark Kitching,0,0,0,0,0,0,0,0,0,0
-,Ryan Brobbell,0,0,0,0,0,0,0,0,0,0
21,Stuart Parnaby,0,2,0,0,0,0,2,2,0,0
