NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,Adam Johnson,1,0,1,3,1,0,0,1,0,0
-,Andrew Taylor,1,0,0,1,0,0,1,0,0,0
-,David Wheater,1,0,0,0,0,0,1,1,0,0
-,Jeremie Aliadiere,1,0,0,2,0,0,2,2,0,0
-,Julio Arca,1,0,0,2,1,0,1,0,0,0
-,Justin Hoyte,1,0,0,0,0,0,0,0,0,0
-,Mark Yeates,1,0,0,2,0,0,0,1,0,0
-,Marvin Emnes,1,0,0,1,0,1,0,1,0,0
-,Rhys Williams,1,0,0,1,0,0,1,1,0,0
-,Robert Huth,1,0,0,0,0,0,2,0,0,0
-,Jonathan Franks,0,0,0,0,0,0,0,0,0,0
-,Jonathan Grounds,0,0,0,0,0,0,0,0,0,0
-,Joseph Bennett,0,1,0,0,0,0,0,0,0,0
-,Leroy Lita,0,1,0,0,0,0,0,0,0,0
-,Seb Hines,0,0,0,0,0,0,0,0,0,0
-,Tony McMahon,0,1,0,0,0,0,0,0,0,0
