NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
3,Joseph Bennett,40,1,1,18,13,2,32,38,10,1
2,Justin Hoyte,39,0,0,22,9,5,7,11,1,0
9,Marvin Emnes,37,5,14,60,34,2,16,62,1,0
17,Barry Robson,36,0,7,71,31,9,71,73,12,1
4,Matthew Bates,36,0,2,7,2,0,16,19,2,0
10,Nick Bailey,36,0,2,22,8,2,35,34,8,0
14,Rhys Williams,34,1,2,25,13,4,34,43,6,1
7,Scott McDonald,30,2,9,70,34,4,31,54,3,0
29,Tony McMahon,28,6,1,23,13,3,30,44,7,1
38,Faris Haroun,23,8,2,31,9,1,27,25,6,0
18,Julio Arca,22,8,0,23,15,2,20,18,3,1
15,Seb Hines,21,3,1,5,2,1,19,15,3,0
6,Stephen McManus,21,3,0,9,0,0,15,9,4,0
30,Lukas Jutkiewicz,18,2,2,58,24,2,23,27,1,0
8,Kevin Thomson,11,12,0,7,2,0,16,11,3,2
-,Adam Hammill,8,2,0,22,12,0,6,21,0,0
5,Merouane Zemmama,7,7,1,11,3,0,11,2,1,0
33,Richard Smallwood,7,6,0,2,0,0,12,7,1,0
16,Bartholomew Ogbeche,5,12,3,26,17,0,6,15,2,0
25,Curtis Main,1,12,2,6,3,1,9,3,1,0
32,Adam Reach,0,1,0,0,0,0,0,0,0,0
-,Alex Nimely,0,8,0,0,0,0,2,4,0,0
19,Andy Halliday,0,1,0,0,0,0,0,1,0,0
20,Luke Williams,0,0,0,0,0,0,0,0,0,0
22,Malaury Martin,0,15,3,12,6,0,3,1,1,0
-,Tarmo Kink,0,1,0,1,0,0,2,0,0,0
