NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,David Wheater,2,0,0,1,0,0,3,1,0,0
-,Julio Arca,2,0,1,1,0,0,1,4,0,0
-,Justin Hoyte,2,0,0,2,0,0,0,0,0,0
-,Leroy Lita,2,0,0,4,3,1,0,2,0,0
-,Nick Bailey,2,0,0,1,0,0,2,3,0,0
-,Scott McDonald,2,0,2,6,2,0,1,3,0,0
-,Barry Robson,1,0,0,1,1,0,0,3,0,0
-,Jonathan Grounds,1,0,0,0,0,0,1,0,1,0
-,Joseph Bennett,1,0,0,0,0,0,0,1,0,0
-,Josh Walker,1,0,0,1,0,1,0,1,0,0
-,Luke Williams,1,0,0,3,2,0,0,1,0,0
-,Matthew Kilgallon,1,0,0,0,0,0,0,0,0,0
-,Stephen McManus,1,0,0,0,0,0,1,3,0,0
-,Tarmo Kink,1,0,0,5,3,0,1,0,1,0
-,Andy Halliday,0,1,0,0,0,0,0,1,0,0
-,Bruno Pilatos,0,0,0,0,0,0,0,0,0,0
-,Kris Boyd,0,1,0,2,0,0,1,2,0,0
-,Lee Miller,0,1,0,0,0,0,0,0,0,0
-,Marvin Emnes,0,0,0,0,0,0,0,0,0,0
-,Richard Smallwood,0,0,0,0,0,0,0,0,0,0
-,Seb Hines,0,1,0,0,0,0,0,0,0,0
