R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,6.53,
2,Justin Hoyte,DR,0,0,4,4,1,0,0,6.3,
3,Jonathan Woodgate,DC,1,2,7,7,0,2,1,7.02,
4,Rhys Williams,DC,1,0,4,4,1,1,1,6.48,
5,George Friend,DL,2,0,1,1,0,0,0,6.46,
6,Albert Adomah,MR,2,0,0,0,0,0,1,6.73,
7,Grant Leadbitter,MC,2,0,1,1,0,0,1,7.54,
8,József Varga72',MC,2,1,0,0,1,0,0,6.55,
9,Dean Whitehead,MC,5,1,1,1,0,0,0,7.47,
10,Mustapha Carayol72',ML,1,0,0,0,0,0,0,7.81,
11,Lukas Jutkiewicz,FW,1,0,0,0,0,0,1,7.55,
12,Marvin Emnes72',Sub,0,0,1,1,0,0,0,6.1,
13,Luke Williams,Sub,0,0,0,0,0,0,0,0,
14,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,0,
16,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
17,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,
18,Andrew Halliday72',Sub,0,0,1,1,0,0,0,6.3,
