,,,,,,,,,,,
R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,3,3,0,0,0,7.09,
2,Rhys Williams,DR,5,3,6,6,0,0,3,7.07,
3,Jonathan Woodgate,DC,2,2,7,7,1,2,1,7.04,
4,Ben Gibson,DC,1,1,5,5,0,1,0,6.27,
5,George Friend89',DL,3,2,5,5,0,0,0,6.6,
6,Albert Adomah87',MR,3,0,2,2,0,0,0,6.86,
7,Jacob Butterfield45',MC,0,0,0,0,0,0,3,5.81,
8,Dean Whitehead,MC,4,1,6,6,0,0,2,7.92,
9,Richard Smallwood,MC,2,4,3,3,0,0,0,7.68,
10,Kei Kamara,ML,0,2,3,3,1,0,0,7.4,
11,Curtis Main,FW,0,0,0,0,0,0,4,5.17,
12,József Varga87',Sub,1,0,0,0,0,0,0,6.04,
13,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
14,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,
15,Marvin Emnes,Sub,0,0,0,0,0,0,0,0,
16,Daniel Ayala89',Sub,0,0,1,1,0,0,0,6.06,
17,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,
18,Mustapha Carayol45',Sub,0,0,0,0,1,0,0,6.2,
