R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,1,1,0,0,0,6.32,
2,Frazer Richardson77',DR,3,1,0,0,0,0,0,6.62,
3,Ben Gibson,DC,1,0,4,4,1,0,1,7.2,
4,Rhys Williams,DC,3,0,11,11,0,2,1,7.34,
5,George Friend,DL,2,2,2,2,0,0,1,7.13,
6,Dean Whitehead,DMC,0,0,3,3,2,0,0,6.68,
7,Albert Adomah,MR,1,0,3,3,0,0,0,6.85,
8,Grant Leadbitter,MC,1,0,0,0,0,0,1,7.82,
9,Jacob Butterfield72',MC,3,1,0,0,0,0,2,6.68,
10,Mustapha Carayol65',ML,1,0,0,0,0,0,2,6.23,
11,Kei Kamara,FW,0,0,0,0,0,0,1,6.6,
12,Lukas Jutkiewicz65',Sub,0,0,0,0,0,0,2,6.13,
13,József Varga,Sub,0,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
15,Andrew Halliday72',Sub,0,0,0,0,0,0,0,6.11,
16,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,
17,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,
18,Justin Hoyte77',Sub,0,0,0,0,0,0,0,6.13,
