R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jayson Leutwiler,GK,0,0,1,1,0,0,0,6.12,
2,Frazer Richardson,DR,1,0,0,0,1,0,1,6.23,
3,Jonathan Woodgate,DC,2,0,7,7,0,1,0,6.72,
4,Rhys Williams,DC,0,0,5,5,0,3,2,6.63,
5,George Friend,DL,2,0,2,2,0,0,0,6.83,
6,Albert Adomah,MR,0,0,2,2,0,0,0,6.35,
7,Grant Leadbitter,MC,2,0,0,0,1,0,1,7,
8,Dean Whitehead,MC,3,0,4,4,0,0,1,6.51,
9,József Varga60',MC,1,0,2,2,0,0,0,6.22,
10,Mustapha Carayol,ML,0,0,0,0,0,0,1,6.11,
11,Lukas Jutkiewicz,FW,0,0,1,1,0,0,2,5.99,
12,Curtis Main,Sub,0,0,0,0,0,0,0,0,
13,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
16,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,
17,Marvin Emnes60',Sub,1,0,0,0,0,0,0,7.02,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,0,
