R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,8.46,
2,József Varga,DR,2,8,0,0,0,0,2,7.24,
3,Ben Gibson,DC,2,1,9,9,0,1,0,7.2,
4,Kenneth Omeruo79',DC,3,1,9,9,1,0,0,7.34,
5,George Friend,DL,4,1,1,1,0,1,2,7.08,
6,Luke Williams,MR,1,2,0,0,0,0,0,7.25,
7,Dean Whitehead,MC,1,1,0,0,0,0,1,6.64,
8,Grant Leadbitter,MC,2,2,0,0,1,0,2,8.11,
9,Albert Adomah87',ML,5,0,1,1,0,0,0,7.66,
10,Lee Tomlin60',AMC,0,0,1,1,0,0,2,6.31,
11,Danny Graham,FW,0,0,0,0,0,0,0,8.15,
12,Emmanuel Jorge Ledesma87',Sub,1,0,0,0,0,0,0,6.13,
13,Nathaniel Chalobah79',Sub,0,0,3,3,0,0,0,6.43,
14,Bryn Morris,Sub,0,0,0,0,0,0,0,0,
15,David Atkinson,Sub,0,0,0,0,0,0,0,0,
16,Kei Kamara,Sub,0,0,0,0,0,0,0,0,
17,Jacob Butterfield60',Sub,1,0,0,0,0,0,1,6.37,
18,Jason Steele,Sub,0,0,0,0,0,0,0,0,
