R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,6.64,
2,Frazer Richardson77',DR,1,0,2,2,0,0,0,6.51,
3,Rhys Williams,DC,1,0,9,9,1,2,0,7.11,
4,Ben Gibson,DC,2,1,5,5,0,1,0,6.79,
5,George Friend,DL,1,0,3,3,0,0,1,7.23,
6,Jacob Butterfield,MR,1,0,0,0,0,0,0,8.95,
7,Dean Whitehead,MC,3,2,3,3,1,0,2,7.47,
8,Grant Leadbitter78',MC,1,1,1,1,0,0,1,7.19,
9,Albert Adomah,ML,2,0,0,0,0,0,0,8.2,
10,Marvin Emnes62',AMC,1,0,0,0,0,0,1,6.69,
11,Kei Kamara,FW,1,0,2,2,0,0,0,9.76,
12,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,
13,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,
14,Justin Hoyte77',Sub,0,0,1,1,0,0,0,5.96,
15,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
16,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,0,
17,Mustapha Carayol62',Sub,0,0,0,0,0,0,0,7.08,
18,József Varga78',Sub,1,0,0,0,0,0,1,6.09,
