,,,,,,,,,,,
R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,1,5.5,
2,Frazer Richardson,DR,3,2,7,7,1,0,3,6.55,
3,Daniel Ayala,DC,0,0,6,6,1,0,2,5.97,
4,Jonathan Woodgate,DC,0,3,11,11,2,2,2,7.07,
5,George Friend,DL,0,1,5,5,1,0,2,6.71,
6,Albert Adomah,MR,2,0,2,2,0,0,1,7.48,
7,Grant Leadbitter,MC,1,0,1,1,0,0,1,6.41,
8,Richard Smallwood82',MC,3,0,2,2,0,0,0,6.68,
9,Mustapha Carayol67',ML,2,0,0,0,0,0,0,7.25,
10,Marvin Emnes44',FW,0,0,0,0,0,0,1,5.81,
11,Kei Kamara,FW,3,0,3,3,0,0,3,7.12,
12,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,
13,Lukas Jutkiewicz82',Sub,0,0,0,0,0,0,0,6.12,
14,Ben Gibson,Sub,0,0,0,0,0,0,0,0,
15,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,
16,Curtis Main67',Sub,0,0,0,0,0,0,0,5.89,
17,Rhys Williams,Sub,0,0,0,0,0,0,0,0,
18,Jayson Leutwiler44',Sub,0,0,0,0,0,0,0,7,
