R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,1,1,0,0,0,6.75,
2,József Varga,DR,3,2,0,0,0,0,2,6.42,
3,Ben Gibson,DC,1,1,5,5,0,0,0,5.96,
4,Kenneth Omeruo,DC,5,5,13,13,2,2,2,8.41,
5,George Friend,DL,0,4,0,0,1,0,4,5.58,
6,Albert Adomah,MR,2,0,2,2,0,0,0,6.27,
7,Nathaniel Chalobah45',MC,1,1,2,2,0,0,1,5.87,
8,Dean Whitehead,MC,2,2,1,1,0,0,1,6.41,
9,Emmanuel Jorge Ledesma64',ML,1,0,0,0,0,0,2,6.38,
10,Luke Williams,FW,3,0,0,0,0,0,0,7.28,
11,Danny Graham,FW,1,0,1,1,0,0,2,5.64,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,
13,Curtis Main,Sub,0,0,0,0,0,0,0,0,
14,Daniel Ayala,Sub,0,0,0,0,0,0,0,0,
15,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,
16,Grant Leadbitter45',Sub,1,1,1,1,1,0,0,6.26,
17,Lee Tomlin64',Sub,0,1,0,0,0,0,0,6.32,
18,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,
