R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,3,3,0,0,0,7.65,
2,Jonathan Woodgate,DC,1,0,5,5,0,1,0,6.16,
3,Kenneth Omeruo,DC,5,2,10,10,1,2,1,7.75,
4,Nathaniel Chalobah,DC,1,3,7,7,1,1,0,7.05,
5,Emmanuel Jorge Ledesma,DMR,2,1,4,4,0,0,1,7.81,
6,Albert Adomah,DML,3,0,1,1,0,0,1,6.4,
7,Jacob Butterfield60',MC,1,0,0,0,0,0,0,6.73,
8,Dean Whitehead85',MC,1,2,2,2,0,0,1,6.71,
9,Grant Leadbitter74',MC,1,3,1,1,0,0,1,6.18,
10,Lee Tomlin,AMC,0,0,0,0,0,0,2,6.12,
11,Danny Graham,FW,1,0,2,2,0,0,0,6.77,
12,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,
13,George Friend85',Sub,1,0,1,1,0,0,0,6.16,
14,Jason Steele,Sub,0,0,0,0,0,0,0,0,
15,Curtis Main74',Sub,0,0,0,0,0,0,0,6.03,
16,József Varga,Sub,0,0,0,0,0,0,0,0,
17,Luke Williams60',Sub,2,1,0,0,0,0,0,6.32,
18,Bryn Morris,Sub,0,0,0,0,0,0,0,0,
