R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Tomás Mejías,GK,0,0,2,2,0,0,0,6.6,
2,Damiá,DR,2,2,2,2,1,0,2,6.53,
3,Kenneth Omeruo,DC,3,4,12,12,0,0,2,7.44,
4,Daniel Ayala,DC,3,0,4,4,1,0,1,6.92,
5,George Friend,DL,7,1,4,4,0,0,2,7.25,
6,Albert Adomah,MR,3,0,0,0,0,0,1,6.53,
7,Grant Leadbitter,MC,4,2,0,0,0,0,1,6.88,
8,Dean Whitehead60',MC,3,0,1,1,0,0,1,6.48,
9,Adam Reach75',ML,1,1,0,0,0,0,0,6.69,
10,Kike,FW,0,0,0,0,0,0,2,5.66,
11,Lee Tomlin85',FW,1,0,0,0,0,0,0,6.32,
12,James Husband,Sub,0,0,0,0,0,0,0,0,
13,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,
14,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
16,Luke Williams85',Sub,0,0,0,0,0,0,0,6.07,
17,Emilio Nsue Lopez75',Sub,0,0,0,0,0,0,0,5.98,
18,Adam Clayton60',Sub,3,1,1,1,0,0,0,6.67,
