R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,1,1,0,0,0,7.89,
2,Frazer Richardson,DR,2,1,5,5,0,0,2,6.98,
3,Jonathan Woodgate,DC,4,0,9,9,5,1,1,7.37,
4,Rhys Williams,DC,2,0,16,16,2,1,1,6.82,
5,George Friend,DL,3,1,7,7,1,1,2,8.5,
6,Grant Leadbitter,MC,0,0,1,1,0,0,0,7.13,
7,Dean Whitehead,MC,3,2,4,4,1,0,1,7,
8,Jacob Butterfield,MC,1,2,3,3,0,0,0,7.03,
9,Kei Kamara81',FWR,0,0,2,2,0,0,1,7.27,
10,Marvin Emnes77',FW,0,0,0,0,0,0,0,6.65,
11,Albert Adomah80',FWL,0,0,2,2,0,0,1,7.05,
12,Lukas Jutkiewicz81',Sub,0,0,0,0,0,0,1,6.11,
13,Mustapha Carayol80',Sub,2,0,0,0,0,0,0,6.27,
14,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,
15,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,
16,Emmanuel Jorge Ledesma78',Sub,2,0,0,0,0,0,1,5.09,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,0,
