R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,6.7,
2,József Varga,DR,0,1,1,1,0,0,0,6.64,
3,Kenneth Omeruo,DC,1,1,16,16,1,0,2,7.86,
4,Ben Gibson,DC,0,0,12,12,0,1,1,7.08,
5,George Friend,DL,3,1,8,8,0,0,1,7.67,
6,Emmanuel Jorge Ledesma,MR,3,1,0,0,0,0,2,6.47,
7,Grant Leadbitter,MC,3,3,1,1,0,0,3,8.41,
8,Nathaniel Chalobah,MC,1,3,2,2,0,0,2,7.15,
9,Mustapha Carayol81',ML,1,1,0,0,0,0,0,8.32,
10,Lee Tomlin78',AMC,1,0,0,0,0,0,1,6.53,
11,Danny Graham72',FW,0,1,2,2,0,0,0,8.54,
12,Jacob Butterfield78',Sub,1,0,0,0,0,0,0,6.16,
13,Luke Williams,Sub,0,0,0,0,0,0,0,0,
14,David Atkinson,Sub,0,0,0,0,0,0,0,0,
15,Bryn Morris,Sub,0,0,0,0,0,0,0,0,
16,Kei Kamara72',Sub,0,0,0,0,0,0,2,6.35,
17,Curtis Main81',Sub,0,0,0,0,0,0,0,5.9,
18,Jason Steele,Sub,0,0,0,0,0,0,0,0,
