R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,1,1,0,0,0,6.54,
2,Ryan Fredericks,DR,16,1,2,2,0,0,0,8.35,
3,Daniel Ayala,DC,1,1,3,3,0,0,1,7.36,
4,Ben Gibson,DC,0,7,2,2,1,0,1,7.18,
5,James Husband,DL,3,4,2,2,0,0,1,7.07,
6,Emmanuel Ledesma75',MR,3,1,0,0,0,0,2,6.93,
7,Grant Leadbitter,MC,2,5,0,0,0,0,2,7.29,
8,Adam Clayton29',MC,0,0,0,0,0,0,1,5.93,
9,Adam Reach,ML,1,0,0,0,0,0,1,6.35,
10,Lee Tomlin,FW,4,0,1,1,0,0,3,7.12,
11,Patrick Bamford,FW,0,0,0,0,0,0,0,6.27,
12,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,undefined,
13,Bryn Morris,Sub,0,0,0,0,0,0,0,undefined,
14,George Friend,Sub,0,0,0,0,0,0,0,undefined,
15,Yanic Wildschut,Sub,0,0,0,0,0,0,0,undefined,
16,Jamal Blackman,Sub,0,0,0,0,0,0,0,undefined,
17,Emilio Nsue Lopez75',Sub,0,0,0,0,0,0,0,5.95,
18,Kike29',Sub,0,0,0,0,0,0,1,6.78,
