R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,1,1,0,0,0,6.67,
2,Frazer Richardson,DR,0,1,6,6,1,2,1,6.63,
3,Jonathan Woodgate45',DC,1,0,2,2,0,2,1,6.14,
4,Ben Gibson,DC,2,2,6,6,1,1,2,5.87,
5,George Friend,DL,1,4,8,8,0,0,2,6.75,
6,Jacob Butterfield67',MR,0,0,0,0,0,0,0,5.75,
7,József Varga45',MC,0,1,0,0,0,0,1,5.76,
8,Grant Leadbitter,MC,1,1,1,1,0,0,2,6.48,
9,Dean Whitehead,MC,0,0,5,5,0,0,0,6.47,
10,Albert Adomah,ML,1,3,0,0,0,0,2,6.13,
11,Kei Kamara,FW,0,1,2,2,0,0,1,6.42,
12,Mustapha Carayol,Sub,0,0,0,0,0,0,0,0,
13,Richard Smallwood67',Sub,0,0,0,0,0,0,0,6.1,
14,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,
15,Lukas Jutkiewicz45',Sub,1,1,0,0,0,0,1,6.8,
16,Andrew Halliday,Sub,0,0,0,0,0,0,0,0,
17,Stuart Parnaby45',Sub,0,1,4,4,0,0,1,6.33,
18,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,
