R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,2,2,0,0,0,6.06,
2,Rhys Williams,DR,6,4,3,3,0,0,1,7.3,
3,Ben Gibson,DC,1,2,13,13,2,1,0,6.91,
4,Daniel Ayala,DC,1,0,18,18,1,0,2,6.92,
5,George Friend,DL,3,1,8,8,1,0,0,7.09,
6,Albert Adomah89',MR,2,0,1,1,0,0,1,6.27,
7,Grant Leadbitter,MC,1,2,2,2,0,0,0,7.41,
8,Richard Smallwood,MC,5,1,2,2,0,0,2,6.87,
9,Jacob Butterfield79',MC,3,1,1,1,0,0,0,6.74,
10,Mustapha Carayol67',ML,2,0,0,0,0,0,1,8,
11,Curtis Main,FW,1,0,1,1,0,0,0,7.76,
12,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
13,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,
14,Emmanuel Jorge Ledesma79',Sub,1,0,0,0,0,0,0,6.07,
15,Marvin Emnes89',Sub,0,0,0,0,0,0,0,5.9,
16,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,
17,Lukas Jutkiewicz67',Sub,0,0,0,0,0,0,2,5.84,
18,József Varga,Sub,0,0,0,0,0,0,0,0,
