R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,2,2,0,0,0,7.38,
2,József Varga,DR,1,2,2,2,0,0,1,6.85,
3,Rhys Williams,DC,1,3,10,10,0,1,0,7.65,
4,Daniel Ayala,DC,0,1,11,11,0,1,1,7.18,
5,George Friend,DL,1,0,3,3,0,0,0,7.61,
6,Emmanuel Jorge Ledesma,MR,2,1,0,0,1,0,4,7.61,
7,Dean Whitehead,MC,2,1,1,1,0,0,1,7.34,
8,Grant Leadbitter,MC,2,1,1,1,0,0,1,7.01,
9,Mustapha Carayol88',ML,2,1,0,0,0,0,1,7.09,
10,Curtis Main79',FW,2,0,2,2,0,0,0,6.77,
11,Marvin Emnes58',FW,0,0,0,0,0,0,1,6.56,
12,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,
13,Lukas Jutkiewicz58',Sub,0,0,0,0,0,0,0,6.3,
14,Richard Smallwood79',Sub,0,0,0,0,0,0,0,5.98,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,0,
16,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,
17,Kei Kamara88',Sub,1,0,0,0,0,0,0,6.15,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
