R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Tomás Mejías,GK,0,0,4,4,0,0,0,7.68,
2,József Varga,DR,3,3,3,3,0,0,2,6.58,
3,Jonathan Woodgate45',DC,0,0,8,8,0,2,0,6.54,
4,Kenneth Omeruo,DC,4,1,13,13,2,2,1,7.64,
5,George Friend,DL,1,1,2,2,1,0,3,6.05,
6,Jacob Butterfield75',MR,2,1,0,0,0,0,1,7.33,
7,Dean Whitehead,MC,3,4,5,5,1,0,6,5.38,
8,Nathaniel Chalobah,MC,3,2,2,2,0,0,3,6.83,
9,Albert Adomah58',ML,0,0,0,0,0,0,1,6.03,
10,Danny Graham,FW,0,0,2,2,0,0,0,5.86,
11,Kei Kamara,FW,2,2,1,1,1,0,4,6.93,
12,Grant Leadbitter,Sub,0,0,0,0,0,0,0,0,
13,Bryn Morris,Sub,0,0,0,0,0,0,0,0,
14,Emmanuel Jorge Ledesma58',Sub,0,1,0,0,0,0,0,6.19,
15,Lee Tomlin,Sub,0,0,0,0,0,0,0,0,
16,Curtis Main75',Sub,0,0,0,0,0,0,1,5.79,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
18,Ben Gibson45',Sub,0,0,9,9,1,1,1,6.46,
