R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,6.48,
2,József Varga,DR,1,3,1,1,1,1,3,6.66,
3,Kenneth Omeruo,DC,5,3,9,9,2,4,0,7.66,
4,Ben Gibson,DC,0,2,2,2,1,0,0,6.55,
5,George Friend,DL,1,0,2,2,0,0,0,6.63,
6,Emmanuel Jorge Ledesma62',MR,2,1,0,0,0,0,1,6.61,
7,Nathaniel Chalobah,MC,3,2,0,0,0,0,4,6.61,
8,Grant Leadbitter,MC,5,2,2,2,0,0,0,7.4,
9,Mustapha Carayol83',ML,3,0,0,0,0,0,0,7.88,
10,Lee Tomlin36',AMC,0,0,0,0,0,0,0,5.95,
11,Danny Graham,FW,0,1,1,1,0,0,1,6.28,
12,Albert Adomah36',Sub,1,0,0,0,1,0,0,6.76,
13,Jason Steele,Sub,0,0,0,0,0,0,0,0,
14,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,
15,Luke Williams,Sub,0,0,0,0,0,0,0,0,
16,David Atkinson,Sub,0,0,0,0,0,0,0,0,
17,Kei Kamara83',Sub,0,0,0,0,0,0,0,6.08,
18,Dean Whitehead62',Sub,2,0,0,0,0,0,0,6.13,
