R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,0,0,0,0,0,6.73,
2,Rhys Williams,DR,6,5,6,6,0,0,1,7.72,
3,Jonathan Woodgate,DC,2,0,9,9,0,1,0,7.46,
4,Ben Gibson,DC,0,1,9,9,1,0,1,7.11,
5,George Friend,DL,1,1,2,2,0,0,1,6.79,
6,Albert Adomah,MR,4,0,2,2,0,0,0,7.15,
7,Grant Leadbitter,MC,3,3,1,1,0,0,2,8.58,
8,Jacob Butterfield67',MC,1,2,0,0,0,0,1,6.42,
9,Richard Smallwood84',MC,1,0,0,0,0,0,2,6.27,
10,Mustapha Carayol63',ML,0,0,0,0,0,0,2,5.93,
11,Kei Kamara,FW,3,0,1,1,0,0,3,6.98,
12,Dean Whitehead84',Sub,1,0,0,0,0,0,0,6.06,
13,Curtis Main63',Sub,1,0,0,0,0,0,0,6.4,
14,Marvin Emnes67',Sub,1,0,0,0,0,0,0,6.55,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
16,Daniel Ayala,Sub,0,0,0,0,0,0,0,0,
17,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,
18,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,
