R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,5.61,
2,Frazer Richardson,DR,4,0,2,2,0,0,3,6.16,
3,Rhys Williams,DC,2,0,7,7,0,1,2,5.27,
4,Jonathan Woodgate,DC,0,3,10,10,1,0,0,6.48,
5,George Friend,DL,1,2,3,3,1,0,1,6.66,
6,Dean Whitehead89',DMC,4,4,1,1,1,0,1,7.42,
7,Albert Adomah89',MR,2,0,2,2,0,0,0,6.7,
8,Grant Leadbitter,MC,1,0,0,0,0,0,2,7.35,
9,Jacob Butterfield,MC,3,1,1,1,0,0,1,7.23,
10,Mustapha Carayol87',ML,2,0,0,0,0,0,0,7.52,
11,Kei Kamara,FW,0,0,1,1,0,0,2,8.25,
12,Ben Gibson87',Sub,1,0,1,1,0,0,0,6.09,
13,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,
14,József Varga89',Sub,0,0,0,0,0,0,0,6.04,
15,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,
16,Lukas Jutkiewicz89',Sub,0,0,0,0,0,0,0,6.06,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
18,Andrew Halliday,Sub,0,0,0,0,0,0,0,0,
