R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,7.31,
2,Ryan Fredericks,DR,8,6,4,4,0,1,2,8.81,
3,Kenneth Omeruo,DC,0,4,3,3,0,0,0,7.6,
4,Ben Gibson,DC,1,1,4,4,0,0,0,7.51,
5,George Friend,DL,2,2,2,2,0,0,0,7.48,
6,Dean Whitehead,DMC,3,4,1,1,0,0,2,6.7,
7,Grant Leadbitter70',DMC,0,2,0,0,1,0,0,8.08,
8,Albert Adomah,AMR,2,1,0,0,0,0,3,8.51,
9,Patrick Bamford76',AMC,0,2,1,1,0,0,2,7.57,
10,Emilio Nsue Lopez,AML,1,0,0,0,0,0,1,8.27,
11,Jelle Vossen85',FW,1,1,0,0,0,0,0,7.81,
12,Adam Clayton70',Sub,0,1,0,0,0,0,0,6.73,
13,Kike76',Sub,0,0,0,0,0,0,1,7.36,
14,James Husband,Sub,0,0,0,0,0,0,0,undefined,
15,Adam Reach85',Sub,0,0,0,0,0,0,0,6.02,
16,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,undefined,
17,Jamal Blackman,Sub,0,0,0,0,0,0,0,undefined,
18,Lee Tomlin,Sub,0,0,0,0,0,0,0,undefined,
