,,,,,,,,,,,
R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,1,1,0,0,0,7.01,
2,József Varga,DR,3,1,6,6,1,0,1,6.64,
3,Daniel Ayala,DC,0,4,13,13,1,1,2,5.96,
4,Rhys Williams,DC,1,0,10,10,0,0,3,6.35,
5,George Friend,DL,0,2,5,5,0,0,0,6.54,
6,Dean Whitehead,DMC,4,2,7,7,2,0,2,6.96,
7,Grant Leadbitter,DMC,3,0,2,2,0,0,0,6.68,
8,Albert Adomah,AMR,0,2,1,1,0,0,0,6.79,
9,Emmanuel Jorge Ledesma77',AMC,0,1,0,0,0,0,0,5.82,
10,Mustapha Carayol,AML,2,1,0,0,0,0,2,6.9,
11,Lukas Jutkiewicz59',FW,1,0,1,1,0,0,2,6.25,
12,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,0,
13,Kei Kamara59',Sub,0,0,1,1,0,0,0,6.02,
14,Marvin Emnes,Sub,0,0,0,0,0,0,0,0,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,0,
16,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
18,Nathaniel Chalobah77',Sub,0,1,0,0,0,0,0,6.1,
