R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,1,1,0,0,0,6.88,
2,József Varga,DR,1,0,2,2,0,0,3,6.42,
3,Kenneth Omeruo67',DC,1,1,3,3,0,0,0,6.61,
4,Jonathan Woodgate41',DC,2,2,5,5,0,2,0,6.97,
5,Ben Gibson,DL,2,0,1,1,0,1,1,5.87,
6,Albert Adomah,MR,1,1,0,0,0,0,1,6.8,
7,Jacob Butterfield60',MC,0,0,0,0,0,0,0,6.38,
8,Dean Whitehead,MC,1,3,0,0,0,0,0,6.85,
9,Adam Reach,ML,2,1,0,0,0,0,1,6.89,
10,Lee Tomlin,AMC,0,1,0,0,0,0,2,9.38,
11,Danny Graham,FW,0,0,1,1,0,0,0,7.61,
12,Sebastian Hines67',Sub,0,1,2,2,0,0,1,6.54,
13,Jason Steele,Sub,0,0,0,0,0,0,0,0,
14,Curtis Main,Sub,0,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,
16,Daniel Ayala41',Sub,3,4,6,6,1,0,0,8.26,
17,Nathaniel Chalobah60',Sub,1,0,0,0,0,0,0,6.61,
18,Bryn Morris,Sub,0,0,0,0,0,0,0,0,
