R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,0,0,0,0,0,6.24,
2,Rhys Williams,DR,1,4,6,6,0,2,3,7.38,
3,Daniel Ayala,DC,2,1,15,15,1,3,0,8.48,
4,Jonathan Woodgate,DC,1,1,9,9,1,1,1,7.07,
5,Ben Gibson,DL,2,2,5,5,0,0,1,6.35,
6,Albert Adomah,MR,3,1,1,1,0,0,1,7.62,
7,Dean Whitehead,MC,0,1,3,3,0,0,0,6.34,
8,Grant Leadbitter,MC,1,2,2,2,0,0,1,6.75,
9,Mustapha Carayol62',ML,2,0,0,0,1,0,1,7.83,
10,Marvin Emnes71',FW,0,0,0,0,0,0,0,6.54,
11,Kei Kamara89',FW,0,1,0,0,0,0,3,7.06,
12,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,
13,Jacob Butterfield71',Sub,1,0,0,0,0,0,1,6.03,
14,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma89',Sub,0,1,0,0,0,0,0,6.01,
16,Lukas Jutkiewicz62',Sub,0,0,0,0,0,0,0,6.57,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
