R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,7.11,
2,József Varga,DR,3,3,3,3,0,0,2,6.98,
3,Ben Gibson,DC,0,1,6,6,2,0,0,6.91,
4,Kenneth Omeruo,DC,1,3,11,11,0,0,1,7.69,
5,George Friend,DL,5,0,1,1,0,0,2,7.03,
6,Luke Williams79',MR,2,2,0,0,0,0,1,6.46,
7,Grant Leadbitter,MC,2,4,0,0,1,0,2,7.54,
8,Nathaniel Chalobah,MC,3,1,3,3,0,0,1,8.48,
9,Albert Adomah89',ML,1,0,0,0,0,0,0,6.52,
10,Lee Tomlin59',AMC,1,0,1,1,0,0,0,6.64,
11,Danny Graham,FW,0,0,0,0,0,0,1,6.3,
12,Mark Kitching,Sub,0,0,0,0,0,0,0,0,
13,David Atkinson,Sub,0,0,0,0,0,0,0,0,
14,Kei Kamara,Sub,0,0,0,0,0,0,0,0,
15,Jacob Butterfield79',Sub,0,0,0,0,0,0,0,6.05,
16,Jason Steele,Sub,0,0,0,0,0,0,0,0,
17,Curtis Main89',Sub,0,0,0,0,0,0,0,6,
18,Emmanuel Jorge Ledesma59',Sub,1,0,0,0,0,0,1,6.3,
