R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,3,3,0,0,0,7.37,
2,József Varga,DR,2,2,1,1,0,0,1,7.18,
3,Ben Gibson,DC,1,1,13,13,1,1,0,7.71,
4,Daniel Ayala,DC,2,1,15,15,0,0,1,7.94,
5,George Friend,DL,2,2,7,7,1,0,0,7.73,
6,Emmanuel Jorge Ledesma88',MR,6,1,0,0,0,0,3,7.99,
7,Grant Leadbitter,MC,2,4,2,2,0,0,2,9.19,
8,Dean Whitehead,MC,3,3,1,1,0,0,3,7.27,
9,Albert Adomah,ML,1,0,0,0,0,0,0,8.21,
10,Lukas Jutkiewicz63',FW,0,1,2,2,0,0,2,7.39,
11,Marvin Emnes81',FW,1,0,0,0,0,0,1,6.95,
12,Jacob Butterfield88',Sub,0,0,0,0,0,0,0,6.09,
13,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
14,Mustapha Carayol81',Sub,0,0,0,0,0,0,0,6.16,
15,Rhys Williams,Sub,0,0,0,0,0,0,0,0,
16,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
17,Curtis Main63',Sub,2,0,4,4,0,0,1,6.65,
18,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,
