R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,0,0,0,0,0,6.92,
2,József Varga,DR,1,0,3,3,0,1,3,6.49,
3,Daniel Ayala,DC,2,0,13,13,1,2,2,7.27,
4,Rhys Williams45',DC,0,0,7,7,1,0,0,6.41,
5,George Friend,DL,2,0,4,4,0,0,0,6.99,
6,Emmanuel Jorge Ledesma,MR,2,0,1,1,0,0,4,6.64,
7,Grant Leadbitter,MC,0,0,2,2,0,0,1,6.05,
8,Dean Whitehead,MC,1,1,6,6,1,0,1,6.68,
9,Mustapha Carayol83',ML,4,1,0,0,0,0,1,7.12,
10,Curtis Main,FW,0,0,1,1,0,0,2,6.13,
11,Marvin Emnes60',FW,0,0,0,0,0,0,0,5.86,
12,Nathaniel Chalobah,Sub,0,0,0,0,0,0,0,0,
13,Ben Gibson45',Sub,0,0,1,1,0,1,0,6.07,
14,Albert Adomah60',Sub,0,0,0,0,0,0,1,6.23,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
16,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,
17,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,0,
18,Kei Kamara83',Sub,0,0,1,1,0,0,0,6.26,
