R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,0,0,0,0,6.82,
2,Sebastian Hines,DR,6,1,0,0,0,0,1,7.27,
3,Daniel Ayala,DC,0,2,6,6,0,0,2,8.46,
4,Ben Gibson4',DC,0,0,0,0,0,0,0,6.33,
5,George Friend,DL,3,4,1,1,0,0,1,7.57,
6,Dean Whitehead,DMC,6,0,1,1,0,0,1,7.55,
7,Grant Leadbitter,DMC,2,0,0,0,0,0,0,7.92,
8,Albert Adomah67',AMR,0,0,0,0,0,0,0,6.83,
9,Lee Tomlin87',AMC,1,0,0,0,0,0,1,7,
10,Adam Reach,AML,2,1,0,0,0,0,0,7.34,
11,Kike,FW,1,1,0,0,0,0,2,8.05,
12,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
13,James Husband,Sub,0,0,0,0,0,0,0,0,
14,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
16,Luke Williams87',Sub,0,0,0,0,0,0,0,6.2,
17,Kenneth Omeruo4',Sub,2,2,2,2,0,1,0,6.87,
18,Emilio Nsue Lopez67',Sub,0,0,0,0,0,0,1,6.24,
