R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,1,1,0,0,0,6.56,
2,József Varga,DR,3,1,2,2,0,0,0,6.82,
3,Jonathan Woodgate,DC,2,0,10,10,1,3,0,7.52,
4,Kenneth Omeruo,DC,3,1,7,7,0,0,0,7.13,
5,George Friend,DL,2,0,3,3,0,0,0,7.09,
6,Nathaniel Chalobah,MR,2,0,1,1,1,0,0,6.67,
7,Jacob Butterfield77',MC,0,0,0,0,0,0,1,6.02,
8,Grant Leadbitter,MC,1,1,1,1,0,0,2,6.89,
9,Kei Kamara67',ML,1,0,1,1,0,0,2,6.72,
10,Danny Graham,FW,0,1,0,0,0,0,0,6.26,
11,Curtis Main72',FW,1,1,0,0,0,0,0,6.63,
12,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,
13,Emmanuel Jorge Ledesma77',Sub,0,0,0,0,0,0,1,6.25,
14,David Atkinson,Sub,0,0,0,0,0,0,0,0,
15,Lee Tomlin67',Sub,0,0,0,0,0,0,0,5.93,
16,Bryn Morris,Sub,0,0,0,0,0,0,0,0,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
18,Albert Adomah72',Sub,0,1,0,0,0,0,1,6.02,
